Title,Price,Ad URL,Local Folder
"4-к. квартира, 112,7 м², 4/22 эт.",25 000 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/4-k._kvartira_1127_m_422_et._3605725583,"dataset_images/4-к. квартира, 112,7 м², 4-22 эт."
"2-к. квартира, 73,2 м², 14/16 эт.",11 550 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_732_m_1416_et._2699767993,"dataset_images/2-к. квартира, 73,2 м², 14-16 эт."
"2-к. квартира, 58 м², 7/17 эт.",20 000 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_58_m_717_et._3325448420,"dataset_images/2-к. квартира, 58 м², 7-17 эт."
"3-к. квартира, 59 м², 2/5 эт.",8 650 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_59_m_25_et._3669827790,"dataset_images/3-к. квартира, 59 м², 2-5 эт."
"2-к. квартира, 64,3 м², 8/11 эт.",14 200 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_643_m_811_et._3523605393,"dataset_images/2-к. квартира, 64,3 м², 8-11 эт."
"3-к. квартира, 101,5 м², 2/15 эт.",10 800 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_1015_m_215_et._3728661166,"dataset_images/3-к. квартира, 101,5 м², 2-15 эт."
"Квартира-студия, 24,6 м², 16/25 эт.",5 130 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_246_m_1625_et._3516861597,"dataset_images/Квартира-студия, 24,6 м², 16-25 эт."
"1-к. квартира, 38 м², 18/24 эт.",9 000 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_38_m_1824_et._3681339164,"dataset_images/1-к. квартира, 38 м², 18-24 эт."
"3-к. квартира, 55,9 м², 5/5 эт.",9 100 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_559_m_55_et._3579213927,"dataset_images/3-к. квартира, 55,9 м², 5-5 эт."
"2-к. квартира, 44 м², 3/7 эт.",11 500 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_44_m_37_et._2692038095,"dataset_images/2-к. квартира, 44 м², 3-7 эт."
"2-к. квартира, 42,6 м², 1/2 эт.",2 850 000 ₽,https://www.avito.ru/kipen/kvartiry/2-k._kvartira_426_m_12_et._3708871715,"dataset_images/2-к. квартира, 42,6 м², 1-2 эт."
"3-к. квартира, 62 м², 7/12 эт.",11 750 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_62_m_712_et._3512140534,"dataset_images/3-к. квартира, 62 м², 7-12 эт."
"2-к. квартира, 44,3 м², 5/5 эт.",7 990 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_443_m_55_et._3470515217,"dataset_images/2-к. квартира, 44,3 м², 5-5 эт."
"Квартира-студия, 27,5 м², 11/23 эт.",5 500 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_275_m_1123_et._533027348,"dataset_images/Квартира-студия, 27,5 м², 11-23 эт."
"2-к. квартира, 53,1 м², 4/5 эт.",7 450 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_531_m_45_et._3431485699,"dataset_images/2-к. квартира, 53,1 м², 4-5 эт."
"1-к. квартира, 33 м², 5/16 эт.",6 790 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_33_m_516_et._3690216772,"dataset_images/1-к. квартира, 33 м², 5-16 эт."
"Квартира-студия, 22,9 м², 17/18 эт.",5 700 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_229_m_1718_et._3812644420,"dataset_images/Квартира-студия, 22,9 м², 17-18 эт."
